Trial,Product1 Tally,Product1 Throughput,Product2 Tally,Product2 Throughput,Product 3 Tally,Product3 Throughput,Utilization I1,Percentage BlockedI1,Utilization I2,PercentageBlockedI2,,
0,879,0.087879173,64,0.006398484,48,0.004798863,99.96772397,0.01994586,19.06087859,74.14625091,,
1,826,0.082595947,62,0.006199696,40,0.003999804,99.92045806,0.028824299,19.16332658,75.87815883,,
2,876,0.087598366,56,0.005599896,33,0.003299938,100,0,14.72089768,79.93680804,,
3,889,0.088837466,55,0.005496131,48,0.004796624,99.90097275,0.034302105,20.4552713,72.44746515,,
4,817,0.081699569,68,0.006799964,52,0.005199973,100,0,23.86501953,71.01927463,,
5,868,0.086771702,41,0.004098663,29,0.002899055,99.90663672,0,15.02660535,78.13880575,,
6,880,0.087995588,53,0.005299734,49,0.004899754,100,0,18.39763333,74.76312488,,
7,788,0.078796837,39,0.003899843,22,0.002199912,100,0,12.02538442,84.81002321,,
8,871,0.087044645,59,0.00589625,43,0.004297267,99.97932084,0.018711746,17.99154392,75.05427497,,
9,889,0.088823617,83,0.008292869,49,0.00489579,99.5265291,0.414263774,22.86446407,70.48543854,,
10,843,0.08429106,58,0.005799385,37,0.003699608,99.90805584,0,16.52060675,77.94918006,,
11,905,0.090456914,70,0.006996667,51,0.005097572,99.9675958,0.018626398,24.11292016,71.09807773,,
12,869,0.086717618,57,0.005688037,48,0.004789926,99.85910454,0.023711785,21.39355124,72.7154938,,
13,858,0.085735442,72,0.007194583,46,0.004596539,100,0,23.41526812,70.4534578,,
14,866,0.086565736,60,0.005997626,49,0.004898061,99.70796154,0.161721557,23.43493225,71.67270706,,
15,864,0.086376152,49,0.004898647,40,0.003998896,99.95093024,0,14.73324193,80.38879357,,
16,862,0.086167537,65,0.006497552,42,0.004198418,100,0,23.15131353,69.15671283,,"t alpha=0.05,n=17"
Mean:,861.7647059,0.086138433,59.47058824,0.005944355,42.70588235,0.004268588,99.91736997,0.042359266,19.43134463,74.71259105,,2.1
Variance:,842.1911765,8.33E-06,119.0147059,1.19E-06,70.47058824,7.03E-07,0.015717024,0.010683109,14.64572839,18.58906864,,
Half width:,3.808944596,0.00037881,1.43185693,0.000143036,1.101801249,0.000110056,0.016454492,0.013565885,0.50229031,0.565884929,,
20% Error:,172.3529412,0.017227687,11.89411765,0.001188871,8.541176471,0.000853718,19.98347399,0.008471853,3.886268927,14.94251821,,
Width,7.617889193,0.000757619,2.863713861,0.000286072,2.203602498,0.000220111,0.032908984,0.027131771,1.00458062,1.131769858,,
Range:,,,,,,,,,,,,
,865.5736505,0.086517243,60.90244517,0.006087391,43.8076836,0.004378644,99.93382446,0.055925151,19.93363494,75.27847597,,
,857.9557613,0.085759624,58.0387313,0.005801319,41.6040811,0.004158533,99.90091547,0.028793381,18.92905432,74.14670612,,
